ID,№ блока,Блок / категория,Источник / позиция,Ведомство / владелец,ООО,ИП,Физлица,Статус в обсуждении,Wave в обсуждении,Стоимость доступа (из обсуждения),Путь подключения (из обсуждения),Машиночитаемый (из обсуждения),Автоматизация (из обсуждения),Влияние (из обсуждения),Что даёт,Ссылка из материалов,Детализация,Уточнение / пробел,Тип позиции,Основание записи,Проверка при сборке файла,Применение,Стоимость разработки
B01-01,1,ФНС,ЕГРЮЛ,ФНС России,Да,Нет,Нет,Частично,2,Платная интеграция для массовых данных,Интеграция ФНС,Да,API / интеграция,Очень высокое,"Регистрация, статус, руководители, учредители, адрес, ОКВЭД",https://www.nalog.gov.ru/rn77/service/egrip2/,Строка перенесена; доступ/права не перепроверены,Master Registry не равен полной базе ЕГРЮЛ. Цена и условия не перепроверены.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-02,1,ФНС,ЕГРИП,ФНС России,Нет,Да,Нет,Частично,2,Платная интеграция,Интеграция ФНС,Да,API / интеграция,Очень высокое,Регистрация ИП,https://www.nalog.gov.ru/rn77/service/egrip2/,Строка перенесена; доступ/права не перепроверены,Полный официальный bulk отдельно не подтверждён.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-03,1,ФНС,Выписка ЕГРЮЛ/ЕГРИП,ФНС России,Да,Да,Нет,Не подключён,1,Бесплатно,Официальный сервис; on-demand,Да,Не указана,Высокое,Электронная выписка по одной организации,https://egrul.nalog.ru/about.html,Строка перенесена; доступ/права не перепроверены,В исходной таблице парсер: нет. Бесплатный просмотр не подтверждает массовую интеграцию.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-04,1,ФНС,Прозрачный бизнес,ФНС России,Да,Да,Нет,Не подключён,1,Бесплатно,Web + Open Data,Частично,Требует проверки,Очень высокое,"Недостоверность, массовые адреса, руководители, ликвидация, отчётность",https://pb.nalog.ru/,Строка перенесена; доступ/права не перепроверены,Отдельно выделить признаки, уже покрытые налоговыми наборами; не считать всё новым источником.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-05,1,ФНС,Tax Debt,ФНС России,Да,Нет,Нет,Реализован,1,Бесплатно,Open Data ZIP/XML,Да,"Да, по обсуждению",Очень высокое,Налоговая задолженность,https://www.nalog.gov.ru/donline/,Строка перенесена; доступ/права не перепроверены,В предоставленном логе Phase 3 есть данные импорта и smoke-test; это не новая проверка БД.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-06,1,ФНС,Tax Offence,ФНС России,Да,Нет,Нет,Реализован,1,Бесплатно,Open Data,Да,"Да, по обсуждению",Очень высокое,Налоговые нарушения,https://www.nalog.gov.ru/donline/,Строка перенесена; доступ/права не перепроверены,В логе Phase 3 есть данные импорта и smoke-test; текущее состояние не перепроверено.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-07,1,ФНС,Paid Taxes,ФНС России,Да,Нет,Нет,Реализован,1,Бесплатно,Open Data,Да,"Да, по обсуждению",Высокое,Уплаченные налоги,https://www.nalog.gov.ru/donline/,Строка перенесена; доступ/права не перепроверены,По переданному логу Phase 3, не по новому запуску.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-08,1,ФНС,REVEXP,ФНС России,Да,Нет,Нет,Реализован,1,Бесплатно,Open Data,Да,"Да, по обсуждению",Высокое,Доходы / расходы,https://www.nalog.gov.ru/donline/,Строка перенесена; доступ/права не перепроверены,По переданному логу Phase 3, не по новому запуску.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-09,1,ФНС,Среднесписочная численность,ФНС России,Да,Нет,Нет,Реализован,1,Бесплатно,Open Data,Да,"Да, по обсуждению",Высокое,Размер компании,https://www.nalog.gov.ru/donline/,Строка перенесена; доступ/права не перепроверены,Сохранён статус блока ФНС.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
B01-10,1,ФНС,Реестр МСП,ФНС России,Да,Да,Нет,Реализован,1,Бесплатно,Open Data,Да,"Да, по обсуждению",Среднее,Категория МСП,https://rmsp.nalog.ru/,Строка перенесена; доступ/права не перепроверены,Не путать с реестром получателей поддержки.,Источник / реестр / сервис,Блок 1 — ФНС; сообщения этого чата,Новая веб-/GitHub-/БД-проверка не проводилась,Карточка компании / ИП; применимые проверки,Не оценена; цена доступа не включает разработку
