group,company,inn,risk_score,risk_label,overall,coverage_score,mandatory_score,workflow_completion_percent,positive_allowed,resolved,partial,unavailable_or_error,primary_sources,fallback_sources,top_factors,fssp_validation,data_quality_flags
Банкротство,"ООО ""СУРГУТТРАНС""",8602203965,60,Высокий риск,Высокий риск,77,77,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -338 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""АЛЬЯНС ХЕЛЗ ТЕХНОЛОДЖИ""",7838040910,60,Высокий риск,Высокий риск,67,67,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,fssp | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=official_licence_registries",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -65 221 642 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""СПЕЦМАШ""",7802275725,35,Умеренный риск,Умеренный риск,74,74,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | licences_sro | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=official_licence_registries | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=firmoteka_licences_sro","Регистрационный статус: Не действует — 10.8 балла | Процедура: возбуждено дело о банкротстве — 8.1 балла | Действующих производств: 9, остаток: 482 421 530.48 ₽ — 6.12 балла",NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО СК ""ПЕТРАСТРОЙ""",7743338473,60,Высокий риск,Высокий риск,74,74,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | licences_sro | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=official_licence_registries | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=firmoteka_licences_sro","Процедура: наблюдение — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Действующих производств: 58, остаток: 371 440 504.87 ₽ — 9 баллов",UNVERIFIED,
Банкротство,"ООО ""МР-ТРАЙДИНГ""",7730253021,60,Высокий риск,Высокий риск,66,66,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,fssp | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Налоговая задолженность: 13 292 435 067.22 ₽ — 6 баллов,NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""ГЛАВТОРГ""",7726670030,60,Высокий риск,Высокий риск,66,66,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,fssp | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -871 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""ТИЕРА""",7721681824,60,Высокий риск,Высокий риск,78,78,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -17 979 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""САНАМ ПРО""",7720831611,60,Высокий риск,Высокий риск,77,77,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Налоговая задолженность: 2 344 589 352.24 ₽ — 6 баллов,NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""ТК-ВИКТОРИЯ""",7719616426,60,Высокий риск,Высокий риск,77,77,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management","Процедура: наблюдение — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Действующих производств: 12, остаток: 1 093 452 305.48 ₽ — 6.66 балла",NOT_IN_VALIDATION_MATRIX,
Банкротство,"ООО ""РЕАЛ ТРЕЙД""",1655423922,60,Высокий риск,Высокий риск,67,67,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,fssp | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -5 548 000 ₽ — 3 балла,NOT_IN_VALIDATION_MATRIX,
Налоговые факторы,"ООО ""УРАЛЦВЕТЛИТ""",6612045859,16,Низкий наблюдаемый риск,Недостаточно данных для полного вывода,65,65,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,licences_sro,bankruptcy | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=efrsb_direct | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,firmoteka_bankruptcy_discovery | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro","Налоговая задолженность: 15 702 961 090.63 ₽ — 6 баллов | Действующих производств: 4, остаток: 15 712 676 255.21 ₽ — 5.22 балла | Финансовый результат: -2 797 797 000 ₽ — 5 баллов",NOT_IN_VALIDATION_MATRIX,
Налоговые факторы,"ООО ""БРУСКО ФАКТОРИ""",6312208069,60,Высокий риск,Высокий риск,78,78,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Налоговая задолженность: 13 777 126 630.17 ₽ — 6 баллов,NOT_IN_VALIDATION_MATRIX,
